augmentation,activation,train_acc,val_acc,train_loss,val_loss,final_val_acc,final_train_acc,max_val_acc,max_val_epoch,name
base,relu,"[0.3988522238163558, 0.5810616929698709, 0.6226685796269728, 0.7058823529411765, 0.7862266857962698, 0.7890961262553802, 0.8335724533715926, 0.8651362984218077, 0.8766140602582496, 0.890961262553802, 0.9124820659971306, 0.9497847919655668, 0.9612625538020086, 0.9684361549497847, 0.9670014347202296, 0.9799139167862266, 0.9799139167862266, 0.9827833572453372, 0.9856527977044476, 0.9813486370157819]","[0.16574585635359115, 0.3370165745856354, 0.5082872928176796, 0.569060773480663, 0.6132596685082873, 0.6187845303867403, 0.6408839779005525, 0.6574585635359116, 0.6685082872928176, 0.6685082872928176, 0.6850828729281768, 0.6685082872928176, 0.7071823204419889, 0.6740331491712708, 0.7016574585635359, 0.6795580110497238, 0.6574585635359116, 0.7292817679558011, 0.6795580110497238, 0.7071823204419889]","[1.7293127341703936, 1.168351249261336, 0.995646129954945, 0.75453228300268, 0.6083507835865021, 0.5551362823356282, 0.4659757803786885, 0.385985176671635, 0.3602908890355717, 0.28810714049772784, 0.26429892670024524, 0.1907296668399464, 0.15115614438598807, 0.14780934358184988, 0.13194704123518683, 0.11560118266127327, 0.10322841290723193, 0.09463151645931331, 0.08635393191467632, 0.08884851228107106]","[2.071012020111084, 1.6922640800476074, 1.4320772886276245, 1.0068912506103516, 1.0273883541425068, 0.9882165392239889, 0.9340190092722574, 0.8539384007453918, 0.9320881962776184, 0.9649020830790201, 0.9091314474741617, 0.8710739413897196, 0.8271226088205973, 0.8396909236907959, 0.8863494594891866, 0.8333583474159241, 0.8738617300987244, 0.8331733544667562, 0.8719286719957987, 0.8676993449529012]",0.7071823204419889,0.9813486370157819,0.7292817679558011,18,base_relu
medium,relu,"[0.21664275466284075, 0.3744619799139168, 0.4533715925394548, 0.4763271162123386, 0.509325681492109, 0.5107604017216643, 0.5538020086083214, 0.5982783357245337, 0.6169296987087518, 0.5982783357245337, 0.6499282639885222, 0.6327116212338594, 0.6499282639885222, 0.6857962697274032, 0.6642754662840746, 0.6700143472022956, 0.667144906743185, 0.6700143472022956, 0.6757532281205165, 0.7058823529411765]","[0.3314917127071823, 0.3425414364640884, 0.4088397790055249, 0.4972375690607735, 0.4972375690607735, 0.4861878453038674, 0.5359116022099447, 0.5580110497237569, 0.5359116022099447, 0.5359116022099447, 0.5524861878453039, 0.5966850828729282, 0.569060773480663, 0.585635359116022, 0.580110497237569, 0.585635359116022, 0.6298342541436464, 0.5966850828729282, 0.6022099447513812, 0.6022099447513812]","[2.2590542164715854, 1.6414842713962903, 1.446968067776073, 1.3500657948580654, 1.2548731565475464, 1.2705923318862915, 1.1091243678873235, 1.090552492575212, 1.0233632001009854, 1.0363882129842585, 0.9333761009303007, 0.9585110165856101, 0.8890893188389865, 0.8496101932092146, 0.8695500330491499, 0.8731612129644915, 0.8461597995324568, 0.8216516863216053, 0.8393227728930387, 0.8035508773543618]","[2.046628952026367, 1.7071447769800823, 1.4901244242986043, 1.2967106103897095, 1.2501870393753052, 1.229087511698405, 1.1639100313186646, 1.0544186035792034, 1.0577549934387207, 1.101562996705373, 1.0721967617670696, 1.0049771269162495, 1.001114805539449, 1.008031149705251, 0.9910988211631775, 1.0226943095525105, 0.9511128266652426, 1.0214757521947224, 0.9839271704355875, 0.9563515782356262]",0.6022099447513812,0.7058823529411765,0.6298342541436464,17,medium_relu
heavy,relu,"[0.18794835007173602, 0.29124820659971307, 0.3285509325681492, 0.3672883787661406, 0.37302725968436157, 0.39598278335724535, 0.4031563845050215, 0.406025824964132, 0.4261119081779053, 0.4648493543758967, 0.45767575322812054, 0.48493543758967, 0.48637015781922527, 0.5078909612625538, 0.5265423242467718, 0.5136298421807748, 0.48637015781922527, 0.5050215208034433, 0.509325681492109, 0.5480631276901005]","[0.27071823204419887, 0.3756906077348066, 0.4088397790055249, 0.36464088397790057, 0.47513812154696133, 0.5082872928176796, 0.4861878453038674, 0.5027624309392266, 0.4972375690607735, 0.49171270718232046, 0.5359116022099447, 0.5193370165745856, 0.5580110497237569, 0.5193370165745856, 0.5303867403314917, 0.5524861878453039, 0.5138121546961326, 0.5524861878453039, 0.5469613259668509, 0.5414364640883977]","[2.335304368625988, 1.8880045739087192, 1.7682220502333208, 1.6990694457834417, 1.6401342695409602, 1.6010151234540073, 1.588400656526739, 1.5562177788127551, 1.5053157156163997, 1.4288570880889893, 1.3944803801449863, 1.362296613779935, 1.3476931940425525, 1.3006853190335361, 1.2694541974501177, 1.2680239894173362, 1.3209718574177136, 1.2701897621154785, 1.2679827430031516, 1.2265077504244717]","[2.0755492448806763, 1.8135692675908406, 1.6389791170756023, 1.5726989110310872, 1.4581477244695027, 1.428361137708028, 1.4315778414408367, 1.4076913197835286, 1.3623276352882385, 1.3016905784606934, 1.2537907163302104, 1.2445499499638875, 1.2144670089085896, 1.2206274072329204, 1.2472475965817769, 1.207620918750763, 1.2615221341451008, 1.2046425143877666, 1.168430765469869, 1.185387631257375]",0.5414364640883977,0.5480631276901005,0.5580110497237569,13,heavy_relu
medium,leaky_relu,"[0.22955523672883787, 0.3500717360114778, 0.37589670014347204, 0.4648493543758967, 0.5265423242467718, 0.539454806312769, 0.5925394548063128, 0.5652797704447633, 0.6097560975609756, 0.6441893830703013, 0.6571018651362984, 0.6685796269727403, 0.6786226685796269, 0.6786226685796269, 0.6786226685796269, 0.6915351506456241, 0.6800573888091822, 0.7288378766140603, 0.7015781922525107, 0.7044476327116213]","[0.23204419889502761, 0.2983425414364641, 0.425414364640884, 0.5138121546961326, 0.5469613259668509, 0.585635359116022, 0.5248618784530387, 0.585635359116022, 0.585635359116022, 0.56353591160221, 0.6408839779005525, 0.6132596685082873, 0.6022099447513812, 0.6464088397790055, 0.6685082872928176, 0.6298342541436464, 0.6298342541436464, 0.6629834254143646, 0.6353591160220995, 0.6519337016574586]","[2.1205591288479892, 1.6730838038704612, 1.493323098529469, 1.3482474197040906, 1.2019700624726035, 1.1779341372576626, 1.0788490826433355, 1.0645182132720947, 1.0050258961590854, 0.9305645389990373, 0.8977703506296332, 0.8492023077878085, 0.8320483511144464, 0.8386938626115973, 0.8275947191498496, 0.7597802389751781, 0.7808784679933027, 0.7225260030139576, 0.7721452496268533, 0.7300727475773204]","[2.04968798160553, 1.7634778022766113, 1.453242580095927, 1.2507694562276204, 1.1710829138755798, 1.1195590297381084, 1.1595534682273865, 1.0510265429814656, 1.0118839740753174, 1.03195454676946, 0.9695998628934225, 0.9613063335418701, 0.9509519735972086, 0.9105734427769979, 0.8720864057540894, 0.8957884709040324, 0.8885043462117513, 0.8811201850573221, 0.9435484210650126, 0.8616510033607483]",0.6519337016574586,0.7044476327116213,0.6685082872928176,15,medium_leaky_relu
medium,swish,"[0.3113342898134864, 0.4347202295552367, 0.503586800573888, 0.5552367288378766, 0.5925394548063128, 0.6169296987087518, 0.6154949784791965, 0.6370157819225251, 0.6700143472022956, 0.6771879483500718, 0.7044476327116213, 0.727403156384505, 0.7503586800573888, 0.7403156384505022, 0.7618364418938307, 0.757532281205165, 0.7675753228120517, 0.8077474892395983, 0.8149210903873745, 0.7790530846484935]","[0.287292817679558, 0.39779005524861877, 0.4861878453038674, 0.56353591160221, 0.5524861878453039, 0.574585635359116, 0.5966850828729282, 0.5911602209944752, 0.6243093922651933, 0.6022099447513812, 0.6132596685082873, 0.6243093922651933, 0.6353591160220995, 0.6022099447513812, 0.6353591160220995, 0.6077348066298343, 0.6574585635359116, 0.6353591160220995, 0.6464088397790055, 0.6353591160220995]","[1.9101481329311023, 1.4753763242201372, 1.2876847982406616, 1.1391374522989446, 1.0709598877213218, 1.0117159431630915, 0.981253445148468, 0.9493669325655157, 0.8824478062716398, 0.833325824954293, 0.7680709091099825, 0.7136446589773352, 0.6766704862767999, 0.6762629747390747, 0.6111002835360441, 0.6179075349460948, 0.6132767715237357, 0.5513052804903551, 0.5455272495746613, 0.5769407613710924]","[2.0336926778157554, 1.6431288719177246, 1.3140551050504048, 1.114749272664388, 1.1033774614334106, 1.0675456325213115, 1.1381542682647705, 1.0586509505907695, 0.9694525996843973, 0.9827109376589457, 0.9350851575533549, 0.9570074677467346, 0.9815694093704224, 0.9316205978393555, 0.9525446891784668, 0.9232690930366516, 0.8630850513776144, 0.871744692325592, 0.9626304705937704, 0.9478546778361002]",0.6353591160220995,0.7790530846484935,0.6574585635359116,17,medium_swish
medium,gelu,"[0.28263988522238165, 0.3916786226685796, 0.45767575322812054, 0.5380200860832137, 0.5581061692969871, 0.5681492109038737, 0.6097560975609756, 0.6126255380200861, 0.6642754662840746, 0.6441893830703013, 0.6814921090387375, 0.7230989956958394, 0.7087517934002869, 0.7159253945480631, 0.7245337159253945, 0.7388809182209469, 0.7245337159253945, 0.727403156384505, 0.7604017216642754, 0.757532281205165]","[0.11049723756906077, 0.22099447513812154, 0.430939226519337, 0.5359116022099447, 0.5524861878453039, 0.56353591160221, 0.580110497237569, 0.574585635359116, 0.5414364640883977, 0.6077348066298343, 0.6408839779005525, 0.585635359116022, 0.6077348066298343, 0.6132596685082873, 0.6132596685082873, 0.6243093922651933, 0.6243093922651933, 0.6408839779005525, 0.6077348066298343, 0.6132596685082873]","[1.9825657389380715, 1.5027995759790593, 1.3767507401379673, 1.2282282547517256, 1.113589812408794, 1.0900837562300942, 1.0262877236713062, 0.9814164313403043, 0.89680476622148, 0.9184247688813643, 0.8490918441252275, 0.7785767587748441, 0.7445910464633595, 0.7385664311322299, 0.7378170110962607, 0.713059046051719, 0.6797042326493696, 0.7313009283759377, 0.650731774893674, 0.6486314643513073]","[2.119852066040039, 1.7654203176498413, 1.3982486724853516, 1.1700237393379211, 1.158476710319519, 1.0581643184026082, 1.0236560304959614, 1.0606724619865417, 1.0061026414235432, 0.9823756217956543, 0.9288076361020406, 0.9497880935668945, 0.928105096022288, 0.9293437997500101, 0.9062825441360474, 0.9023171265920004, 0.8934889833132426, 0.8837694525718689, 0.8755385279655457, 0.9150638977686564]",0.6132596685082873,0.757532281205165,0.6408839779005525,11,medium_gelu
