dropout,lr,opt,batch,train_acc,val_acc
0.0,0.001,adam,32,"[0.30559540889526543, 0.4562410329985653, 0.5724533715925395, 0.6068866571018652, 0.7187948350071736, 0.7503586800573888, 0.7733142037302726, 0.8149210903873745, 0.8249641319942611, 0.8565279770444764, 0.8694404591104734, 0.9038737446197992, 0.9182209469153515, 0.9469153515064562, 0.9497847919655668, 0.9526542324246772, 0.9727403156384505, 0.9813486370157819, 0.9827833572453372, 0.9813486370157819]","[0.2596685082872928, 0.48066298342541436, 0.5524861878453039, 0.5966850828729282, 0.5524861878453039, 0.6187845303867403, 0.6298342541436464, 0.6519337016574586, 0.6850828729281768, 0.6685082872928176, 0.7071823204419889, 0.6850828729281768, 0.6629834254143646, 0.712707182320442, 0.6961325966850829, 0.7237569060773481, 0.7292817679558011, 0.7348066298342542, 0.712707182320442, 0.6187845303867403]"
0.5,0.001,adam,32,"[0.2984218077474892, 0.4519368723098996, 0.5078909612625538, 0.5595408895265424, 0.6068866571018652, 0.5896700143472023, 0.624103299856528, 0.6700143472022956, 0.6958393113342898, 0.6944045911047346, 0.7130559540889526, 0.727403156384505, 0.7259684361549498, 0.7403156384505022, 0.7733142037302726, 0.7403156384505022, 0.7546628407460545, 0.7862266857962698, 0.8005738880918221, 0.812051649928264]","[0.40331491712707185, 0.46408839779005523, 0.5082872928176796, 0.5911602209944752, 0.5414364640883977, 0.574585635359116, 0.6077348066298343, 0.6298342541436464, 0.6298342541436464, 0.6243093922651933, 0.6574585635359116, 0.6408839779005525, 0.6353591160220995, 0.6408839779005525, 0.6574585635359116, 0.5966850828729282, 0.6187845303867403, 0.6519337016574586, 0.6795580110497238, 0.6629834254143646]"
0.2,0.0001,sgd,64,"[0.13199426111908177, 0.24103299856527977, 0.2998565279770445, 0.38450502152080346, 0.41893830703012913, 0.45911047345767575, 0.4634146341463415, 0.4806312769010043, 0.509325681492109, 0.5236728837876614, 0.5279770444763271, 0.5681492109038737, 0.5408895265423243, 0.5652797704447633, 0.5624103299856528, 0.5753228120516499, 0.5853658536585366, 0.5954088952654233, 0.5911047345767575, 0.6197991391678622]","[0.16022099447513813, 0.20994475138121546, 0.3314917127071823, 0.39779005524861877, 0.430939226519337, 0.39779005524861877, 0.425414364640884, 0.430939226519337, 0.44751381215469616, 0.44751381215469616, 0.44751381215469616, 0.4530386740331492, 0.4696132596685083, 0.49171270718232046, 0.4972375690607735, 0.49171270718232046, 0.5082872928176796, 0.5138121546961326, 0.5193370165745856, 0.5248618784530387]"
0.3,0.0005,adam,64,"[0.35437589670014347, 0.5911047345767575, 0.6757532281205165, 0.6714490674318508, 0.7675753228120517, 0.8077474892395983, 0.8407460545193687, 0.8450502152080345, 0.8522238163558106, 0.8852223816355811, 0.8794835007173601, 0.9010043041606887, 0.9182209469153515, 0.9354375896700143, 0.9569583931133429, 0.9598278335724534, 0.9727403156384505, 0.9684361549497847, 0.9713055954088953, 0.975609756097561]","[0.18232044198895028, 0.3701657458563536, 0.5138121546961326, 0.6022099447513812, 0.5966850828729282, 0.6519337016574586, 0.6906077348066298, 0.6685082872928176, 0.6850828729281768, 0.6795580110497238, 0.7071823204419889, 0.712707182320442, 0.6906077348066298, 0.7403314917127072, 0.7292817679558011, 0.712707182320442, 0.6795580110497238, 0.7182320441988951, 0.7071823204419889, 0.7237569060773481]"
0.2,0.001,sgd,32,"[0.29555236728837875, 0.5236728837876614, 0.6025824964131994, 0.6886657101865137, 0.727403156384505, 0.7704447632711621, 0.7647058823529411, 0.7962697274031564, 0.8378766140602583, 0.8708751793400287, 0.8952654232424677, 0.8895265423242468, 0.8981348637015782, 0.9096126255380201, 0.945480631276901, 0.9225251076040172, 0.9540889526542324, 0.9713055954088953, 0.9497847919655668, 0.9813486370157819]","[0.30939226519337015, 0.5193370165745856, 0.569060773480663, 0.6022099447513812, 0.6077348066298343, 0.6187845303867403, 0.6187845303867403, 0.6464088397790055, 0.6740331491712708, 0.6906077348066298, 0.6850828729281768, 0.6685082872928176, 0.6519337016574586, 0.7016574585635359, 0.6629834254143646, 0.6795580110497238, 0.7292817679558011, 0.6961325966850829, 0.6961325966850829, 0.7182320441988951]"
0.5,0.0005,sgd,128,"[0.10473457675753228, 0.15494978479196556, 0.24964131994261118, 0.3170731707317073, 0.3931133428981349, 0.4218077474892396, 0.4619799139167862, 0.5050215208034433, 0.5179340028694405, 0.5466284074605452, 0.5351506456241033, 0.5724533715925395, 0.5624103299856528, 0.5925394548063128, 0.593974175035868, 0.6111908177905309, 0.5954088952654233, 0.5824964131994261, 0.6126255380200861, 0.6398852223816356]","[0.12154696132596685, 0.11602209944751381, 0.15469613259668508, 0.18232044198895028, 0.3314917127071823, 0.39226519337016574, 0.4419889502762431, 0.49171270718232046, 0.5248618784530387, 0.4861878453038674, 0.49171270718232046, 0.49171270718232046, 0.4972375690607735, 0.4972375690607735, 0.5082872928176796, 0.5248618784530387, 0.5248618784530387, 0.5524861878453039, 0.5524861878453039, 0.56353591160221]"
0.0,0.0001,adam,128,"[0.3428981348637016, 0.5681492109038737, 0.6556671449067432, 0.7144906743185079, 0.776183644189383, 0.8249641319942611, 0.8421807747489239, 0.8565279770444764, 0.8981348637015782, 0.8895265423242468, 0.921090387374462, 0.9340028694404591, 0.9354375896700143, 0.9555236728837877, 0.9583931133428981, 0.9583931133428981, 0.9713055954088953, 0.9770444763271162, 0.9784791965566715, 0.9899569583931134]","[0.12154696132596685, 0.11049723756906077, 0.13812154696132597, 0.1712707182320442, 0.34806629834254144, 0.4419889502762431, 0.5303867403314917, 0.585635359116022, 0.6519337016574586, 0.6243093922651933, 0.6574585635359116, 0.6574585635359116, 0.6685082872928176, 0.6795580110497238, 0.6629834254143646, 0.6795580110497238, 0.7016574585635359, 0.6795580110497238, 0.7071823204419889, 0.6795580110497238]"
0.3,0.001,adam,128,"[0.20803443328550933, 0.37302725968436157, 0.4533715925394548, 0.4949784791965567, 0.5609756097560976, 0.593974175035868, 0.6226685796269728, 0.6384505021520803, 0.6513629842180775, 0.733142037302726, 0.6829268292682927, 0.7116212338593975, 0.7517934002869441, 0.7919655667144907, 0.8091822094691535, 0.812051649928264, 0.8149210903873745, 0.8177905308464849, 0.8278335724533716, 0.8550932568149211]","[0.23204419889502761, 0.23204419889502761, 0.3756906077348066, 0.430939226519337, 0.4972375690607735, 0.5027624309392266, 0.5303867403314917, 0.5580110497237569, 0.6353591160220995, 0.585635359116022, 0.6187845303867403, 0.6464088397790055, 0.6685082872928176, 0.6519337016574586, 0.6906077348066298, 0.6629834254143646, 0.6298342541436464, 0.7016574585635359, 0.6740331491712708, 0.6574585635359116]"
